Geography	Sector	Description	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	(blank)
Canada	Not Creative	Petroleum and petroleum products merchant wholesalers	9567	9000	8492	8058	7925	8108	8075	7992	7792	7833	
Canada	Not Creative	Pharmaceutical and medicine manufacturing	44642	43958	42983	42733	42542	41450	41492	40608	40158	39392	
Canada	Not Creative	"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers"	31575	32542	33483	34792	36175	37525	39258	40208	41025	42200	
Canada	Not Creative	Pipeline transportation of crude oil	3308	3575	3958	4233	4483	4683	4817	4892	4983	4817	
Canada	Not Creative	Pipeline transportation of natural gas	2958	2767	2575	2533	2558	2658	2558	2458	2408	2409	
Canada	Not Creative	Plastic product manufacturing	74575	75192	75500	75533	76150	78058	78558	78775	78117	76933	
Canada	Not Creative	Postal service	75467	75458	75167	75058	75033	74350	73892	73617	73067	72350	
Canada	Not Creative	Poultry and egg production	12117	12200	12633	12867	12908	12775	12683	12658	12542	12567	
Canada	Not Creative	Printing and related support activities	85000	85250	84758	84808	83775	82250	81717	81192	81433	81858	
Canada	Not Creative	Private households	74642	73725	72683	71125	69058	67475	66833	67167	67300	68375	
Canada	Not Creative	"Pulp, paper and paperboard mills"	46192	46208	46000	45675	45342	44717	45025	45533	46325	46883	
Canada	Not Creative	Rail transportation	38267	38333	38208	37967	38642	38592	38500	38067	37567	37092	
Canada	Not Creative	Railroad rolling stock manufacturing	5350	5583	5692	5733	5925	6217	6575	6625	6708	6917	
Canada	Not Creative	Recreational vehicle (RV) parks and recreational camps	17650	17358	17208	17392	17433	17533	17492	17858	18008	18858	
Canada	Not Creative	Recyclable material merchant wholesalers	24600	25200	25675	25867	26000	25908	25567	25767	26517	26883	
Canada	Not Creative	Religious organizations	74583	75183	75058	75175	75575	74717	73683	72150	72008	71750	
Canada	Not Creative	Remediation and other waste management services	11108	10833	10475	9925	9467	9042	9175	9400	9492	9592	
Canada	Not Creative	Residential building construction	288617	289275	289442	288300	285900	285450	284317	284100	283508	284275	
Canada	Not Creative	"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing"	4267	4183	4033	4050	4092	4058	3833	3717	3758	3808	
Canada	Not Creative	Rooming and boarding houses	2033	2000	2038	2038	2138	2238	2375	2288	2288	2200	
Canada	Not Creative	Rubber product manufacturing	18058	18208	18150	17975	17942	17550	17317	17033	16825	16950	
Canada	Not Creative	Satellite telecommunications	2400	2175	2280	2280	2280	2280	2280	2167	2800	2775	
Canada	Not Creative	Sawmills and wood preservation	40592	41592	42508	43850	44925	45283	45533	45792	46083	45867	
Canada	Not Creative	"Scenic and sightseeing transportation, land"	1817	1817	1817	1640	1650	1700	1750	1500			
Canada	Not Creative	"Scenic and sightseeing transportation, other"											
Canada	Not Creative	"Scenic and sightseeing transportation, water"	2175	2175	2175	2175	2175	2325	2675	3050	3650	3500	
Canada	Not Creative	Scheduled air transportation	52125	52075	51575	50908	50942	51258	51658	51550	51658	51542	
Canada	Not Creative	School and employee bus transportation	36725	36842	37367	37517	37458	37592	37383	37350	37042	36767	
Canada	Not Creative	Scientific research and development services	39017	38283	37667	36567	35367	34817	34692	34758	34958	35458	
Canada	Not Creative	Seafood product preparation and packaging	17575	17883	18383	18475	18433	18583	18500	18558	18350	17842	
Canada	Not Creative	Securities and commodity contracts intermediation and brokerage	26800	26317	25642	25583	25967	25558	25408	25967	25908	26175	
